fecha,nombre_imagen,numero_lote,cantidad_slabs
2025-08-04 15:49:44,1748549176935.jpg,1,68
2025-08-04 15:49:53,1748549178775.jpg,165056,39
2025-08-04 15:50:03,1748549178806.jpg,3,78
2025-08-04 15:50:13,1748549178838.jpg,4,76
2025-08-04 15:50:22,1748549178869.jpg,5,76
2025-08-04 15:50:42,1748549178775.jpg,164422,39
2025-08-04 15:52:43,1748549178931.jpg,155964,39
2025-08-04 15:52:56,1748549178931.jpg,6,43
2025-08-04 15:53:20,1748549178963.jpg,167911,39
2025-08-04 15:53:40,1748549178963.jpg,7,39
