fecha,nombre_imagen,numero_lote,cantidad_slabs
2025-06-30 16:29:59,IMG_20250611_152618245_HDR.jpg,72,73
2025-06-30 16:30:04,IMG_20250611_152624744_HDR.jpg,1333,74
2025-06-30 17:00:14,1749743349100.jpg,5,77
2025-07-01 08:39:53,IMG_20250611_152631385_HDR.jpg,1,39
2025-07-01 08:39:59,IMG_20250611_152631385_HDR.jpg,2,35
2025-07-01 08:40:26,IMG_20250611_152717501_HDR.jpg,3,39
2025-07-01 08:40:31,IMG_20250611_152717501_HDR.jpg,4,39
2025-07-01 08:40:54,IMG_20250611_153045412_HDR.jpg,5,38
2025-07-01 08:41:05,IMG_20250611_153045412_HDR.jpg,166018,38
2025-07-01 08:42:34,IMG_20250611_153055994_HDR.jpg,166014,38
2025-07-01 08:42:41,IMG_20250611_153055994_HDR.jpg,166012,39
2025-07-01 11:31:15,IMG_20250611_152655284_HDR.jpg,139,31
2025-07-01 11:31:26,IMG_20250611_152655284_HDR.jpg,139,78
2025-07-02 14:53:43,1749743349205.jpg,2,42
2025-07-02 14:53:52,1749743349241.jpg,3,46
2025-07-02 14:55:05,1749743349171.jpg,1,39
2025-07-02 15:06:52,1749743349423.jpg,1,67
2025-07-02 15:19:59,IMG_20250611_153116784_HDR.jpg,1,79
2025-07-02 15:20:30,OIP - copia.jpg,2,106
2025-07-02 15:20:31,IMG_20250611_153120871.jpg,1,36
2025-07-02 15:20:34,IMG_20250611_153110701_HDR.jpg,7777,79
2025-07-02 15:32:42,OIP.jpg,3,90
2025-07-31 09:23:03,IMG_20250611_153050568_HDR.jpg,166017,29
2025-07-31 09:23:03,IMG_20250611_153050568_HDR.jpg,166016,33
2025-07-31 10:26:45,1749743348058.jpg,55,81
2025-07-31 10:28:22,1749743348024.jpg,44,60
2025-07-31 10:29:20,1749743348091.jpg,66,66
2025-07-31 10:32:29,1749743348125.jpg,111,85
2025-07-31 10:32:43,1749743348161.jpg,112,81
2025-07-31 10:33:08,1749743348194.jpg,113,77
2025-07-31 10:33:41,1749743348229.jpg,114,107
2025-07-31 10:36:50,1749743348751.jpg,5,0
2025-07-31 11:03:19,1749743349350.jpg,434,78
2025-07-31 11:27:35,1749743348420.jpg,1,0
2025-07-31 11:27:35,1749743348420.jpg,2,81
2025-07-31 11:28:34,1749743348378.jpg,165637,37
2025-07-31 11:28:34,1749743348378.jpg,165638,35
2025-07-31 11:31:52,1749743349313.jpg,433,40
2025-07-31 11:31:52,1749743349313.jpg,434,38
2025-07-31 11:32:36,1749743349313.jpg,435,78
2025-07-31 11:44:40,1749743347956.jpg,167038,40
2025-07-31 11:44:40,1749743347956.jpg,167039,40
2025-07-31 11:44:42,1749743347990.jpg,165667,37
2025-07-31 11:44:42,1749743347990.jpg,165670,36
2025-07-31 11:45:03,1749743348024.jpg,166016,31
2025-07-31 11:45:12,1749743348024.jpg,166017,29
2025-07-31 12:03:11,1749743347922.jpg,165262,39
2025-07-31 12:03:11,1749743347922.jpg,165263,38
2025-08-04 09:20:00,1749743349278.jpg,166659,41
2025-08-04 09:20:00,1749743349278.jpg,166660,38
2025-08-04 09:20:02,IMG_20250611_152353499_HDR.jpg,1,39
2025-08-04 09:20:02,IMG_20250611_152353499_HDR.jpg,2,40
2025-08-04 09:27:11,IMG_20250611_152600452_HDR.jpg,5,39
2025-08-04 09:27:11,IMG_20250611_152600452_HDR.jpg,6,38
2025-08-04 10:36:11,IMG_20250611_152549551_HDR.jpg,3,39
2025-08-04 10:36:11,IMG_20250611_152549551_HDR.jpg,4,39
2025-08-04 11:18:42,1748549176935.jpg,1,68
2025-08-04 11:19:02,1748549178775.jpg,164422,39
2025-08-04 11:19:11,1748549178775.jpg,165056,39
2025-08-04 11:19:59,1748549178838.jpg,2,38
2025-08-04 11:20:05,1748549178838.jpg,3,38
