fecha,nombre_imagen,numero_lote,cantidad_slabs
2025-08-06 09:37:34,1748549179058.jpg,164322,38
2025-08-06 09:37:39,1748549179058.jpg,164323,38
2025-08-06 09:44:44,1749743348512.jpg,166017,29
2025-08-06 09:44:53,1749743348512.jpg,166016,33
2025-08-06 09:45:33,1749743348865.jpg,165266,39
2025-08-06 09:45:40,1749743348865.jpg,165267,39
2025-08-06 09:45:54,1749743348905.jpg,165264,37
2025-08-06 09:45:59,1749743348905.jpg,165265,38
2025-08-06 09:46:41,1749743349171.jpg,165750,38
2025-08-06 09:46:52,1749743349171.jpg,165861,35
2025-08-06 09:47:56,1749743349241.jpg,165667,37
2025-08-06 09:48:05,1749743349241.jpg,165670,37
2025-08-06 09:48:47,1749743349278.jpg,165659,38
2025-08-06 09:48:54,1749743349278.jpg,165660,38
2025-08-06 09:50:24,1748549178931.jpg,159964,53
2025-08-06 09:50:28,1748549179119.jpg,164320,38
2025-08-06 09:50:28,1748549179119.jpg,164321,38
2025-08-06 09:50:34,1748549179273.jpg,159649,38
2025-08-06 09:50:34,1748549179273.jpg,159922,38
2025-08-06 09:50:35,1748549179338.jpg,165514,39
2025-08-06 09:50:35,1748549179338.jpg,165515,36
2025-08-06 09:50:37,1748549179434.jpg,168158,41
2025-08-06 09:50:37,1748549179434.jpg,164513,38
2025-08-06 09:50:42,1749743348556.jpg,166018,38
2025-08-06 09:50:42,1749743348556.jpg,166019,38
2025-08-06 09:50:43,1749743349205.jpg,165673,38
2025-08-06 09:50:43,1749743349205.jpg,165653,38
2025-08-06 09:50:49,1749743349313.jpg,165656,39
2025-08-06 09:50:49,1749743349313.jpg,165658,38
2025-08-06 09:51:05,1749743349350.jpg,165650,39
2025-08-06 09:51:15,1749743349350.jpg,165654,39
2025-08-06 09:51:32,1749743349385.jpg,165648,39
2025-08-06 09:51:39,1749743349385.jpg,165649,39
2025-08-06 09:52:20,IMG_20250611_152549551_HDR.jpg,165650,39
2025-08-06 09:52:31,IMG_20250611_152549551_HDR.jpg,165654,39
2025-08-06 09:56:47,IMG_20250724_171324718_HDR.jpg,167301,142
2025-08-06 09:57:40,IMG_20250724_171341574_HDR.jpg,167107,145
2025-08-06 10:00:55,IMG_20250724_171447740_HDR.jpg,166654,132
2025-08-06 10:01:45,IMG_20250724_171503689_HDR.jpg,166476,120
2025-08-06 10:02:37,IMG_20250724_171544057_HDR.jpg,163635,154
2025-08-06 10:05:40,IMG_20250724_171249890_HDR.jpg,167299,132
2025-08-06 10:05:42,IMG_20250724_171310088_HDR.jpg,167300,143
2025-08-06 10:06:39,IMG_20250724_163210856_HDR.jpg,167136,40
2025-08-06 10:06:48,IMG_20250724_163210856_HDR.jpg,167137,40
2025-08-06 10:07:19,IMG_20250724_163228407_HDR.jpg,167139,39
2025-08-06 10:07:23,IMG_20250724_163228407_HDR.jpg,167140,38
2025-08-06 10:07:57,IMG_20250724_163257397_HDR.jpg,167143,39
2025-08-06 10:08:01,IMG_20250724_163257397_HDR.jpg,167144,39
2025-08-06 10:08:38,IMG_20250724_163336021_HDR.jpg,167160,39
2025-08-06 10:08:54,IMG_20250724_163336021_HDR.jpg,167146,39
2025-08-06 10:12:56,IMG_20250724_163642874_HDR.jpg,900209,20
2025-08-06 10:13:02,IMG_20250724_163642874_HDR.jpg,900208,40
2025-08-06 10:17:05,IMG_20250724_171405213_HDR.jpg,166930,20
2025-08-06 10:17:06,IMG_20250724_171422876_HDR.jpg,166427,122
2025-08-06 10:17:08,IMG_20250724_171607403_HDR.jpg,163631,144
2025-08-06 10:20:02,IMG_20250724_171626117_HDR.jpg,163753,142
2025-08-06 10:54:24,1748549178775.jpg,164422,39
2025-08-06 10:54:24,1748549178775.jpg,165056,39
2025-08-06 10:54:29,1748549179149.jpg,164310,38
2025-08-06 10:54:29,1748549179149.jpg,164311,38
2025-08-06 10:54:34,1748549179242.jpg,162045,41
2025-08-06 10:54:34,1748549179242.jpg,162053,16
2025-08-06 10:54:34,1748549179242.jpg,161701,14
